Date,Open,High,Low,Close,Adj Close,Volume
2022-02-01,23.510000,23.850000,21.040001,22.459999,21.400442,215212500
2022-03-01,22.389999,25.209999,22.040001,24.889999,23.715805,227336900
2022-04-01,25.120001,25.129999,19.750000,19.870001,18.932627,255887800
2022-05-01,19.879999,20.790001,17.900000,18.860001,17.970274,234572900
2022-06-01,18.920000,19.639999,17.520000,18.510000,17.833897,194635600
2022-07-01,18.600000,19.600000,17.629999,19.490000,18.778099,200617500
2022-08-01,19.360001,20.600000,18.270000,18.299999,17.631567,149208000
2022-09-01,18.330000,19.410000,16.389999,16.969999,16.350145,255732500
2022-10-01,16.870001,18.879999,16.820000,18.730000,18.045860,214744300
2022-11-01,19.190001,20.360001,18.080000,20.350000,19.819954,129757200
2022-12-01,20.400000,20.570000,17.690001,18.010000,17.540903,160968400
2023-01-01,18.180000,19.110001,17.469999,18.799999,18.310324,159889400
2023-02-01,18.879999,19.590000,17.930000,17.940001,17.472727,145685300
2023-03-01,18.090000,18.340000,16.590000,17.440001,16.985748,202779500
2023-04-01,17.209999,17.799999,14.710000,15.540000,15.135237,274439400
2023-05-01,15.500000,16.010000,14.980000,15.960000,15.544298,220384200
2023-06-01,15.790000,16.260000,15.120000,16.070000,15.651432,214352700
2023-07-01,16.190001,18.139999,15.330000,16.660000,16.445545,248022100
2023-08-01,16.719999,17.590000,16.430000,17.370001,17.146406,162252500
2023-09-01,17.520000,18.180000,16.719999,17.110001,16.889753,135483500
2023-10-01,17.030001,18.000000,16.209999,16.420000,16.208633,177978500
2023-11-01,16.299999,17.750000,16.270000,17.549999,17.549999,118127400
2023-12-01,17.469999,18.980000,17.290001,18.379999,18.379999,121024700
2024-01-01,18.240000,20.370001,17.549999,19.860001,19.860001,203941000
2024-02-01,19.860001,20.740000,19.680000,19.780001,19.780001,87344700
